0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.37,-0.37,1.12,0,-1.5,-1.25,-0.25,-0.88,-2.38,-4.25,2.13,1.37,2.13,-4.13,-2.63,1.88,-4.75,-3,-4.5,-3.88,-1.88,-2.5,-1.25,0.5,0.88,1.12,1.12,1.37,3.88,2.5,3,-4.75,-21.5,-4.75,31.37,5.25,1.087902665
1.37,-0.25,1.12,0.25,-1.37,-1.37,-0.12,-0.88,-2.5,-4.25,2.38,1.12,1.63,-4,-2.75,-4,-4.63,-3,-4.5,-3.88,-1.88,-2.13,-1.25,0.37,0.88,1.25,1,1.25,3.75,2.38,3.13,-5.63,-15.25,2.63,2.88,-4.88,1.064780269
1.37,-0.5,1.25,0,-1.5,-1.25,-0.25,-1,-2.25,-4.25,2.25,1.25,1.75,-4,-2.75,11,-4.75,-3,-4.5,-3.5,-2,-2.5,-1.37,0.37,1,1.63,1,1.12,4.25,2.5,3,-27.75,-9.5,32.5,3.5,-11,1.044257041
1.37,-0.5,1.25,0.12,-1.5,-1.37,-0.25,-0.75,-2.38,-4.38,2.13,1.5,1.88,-3.75,-2.63,1.25,-4.63,-3.13,-4.63,-3.38,-2.25,-2.5,-1.25,0.5,1,1.63,0.88,0.88,4.25,2.5,3.13,-14.38,-7.5,7.88,-6,-9.38,1.025477305
1.37,-0.37,1.12,0.12,-1.5,-1.12,-0.25,-0.5,-2.5,-4,2.13,1.5,0,-3.75,-3,1.12,-4.75,-3,-4.63,-3.5,-2.5,-2.5,-1,0.12,1.37,1.75,0.5,1.25,4.38,2.38,3.25,-8.63,8.88,5.88,-11.13,-10.13,1.009583645
1.37,-0.37,1,0.25,-1.37,-1.37,-0.25,-0.75,-2.38,-4.25,2,1.5,1.63,-3.75,-3,-0.25,-4.5,-3.25,-4.13,-3.63,-2.5,-2.5,-0.88,0.37,1.37,1.5,0.37,1.37,4.25,2.5,3.25,-7.88,7.13,-5.63,-9.75,0.63,0.996194107
1.37,0,1.12,0.12,-1.5,-1.37,-0.12,-0.88,-2.5,-4.38,2,1.5,1.5,-3.88,-2.88,-0.5,-4.63,-3.13,-4.25,-3.63,-2.63,-2.5,-1,0.37,1.37,1.12,0.37,1.37,4.38,2.5,3.25,2.25,3,-0.5,-11.63,5.75,0.983802592
1.37,0.12,1.12,0.12,-1.63,-1.25,-0.12,-0.88,-2.5,-4.25,1.88,1.37,2,-4,-2.88,0.12,-4.75,-2.88,-4.25,-4,-2.5,-2.25,-0.88,0.63,1.25,0.88,0.75,1.25,4.25,2.88,3.25,26.5,4.63,0.5,-5.75,-12.88,0.969442593
1.37,0.25,1.12,0.37,-1.63,-1.12,-0.25,-0.88,-2.5,-4.38,1.88,1.12,3,-4,-2.88,0.37,-4.75,-2.75,-4.5,-3.88,-2.38,-2.38,-1.12,0.88,1,0.88,0.63,1.25,4.25,3,3.13,6.38,-0.63,-15,-4.25,-9.5,0.949433596
1.37,0.25,1.12,0.12,-1.5,-1.25,-0.25,-0.88,-2.5,-4.38,2,1,3.5,-4,-2.88,0.12,-4.63,-2.5,-4.75,-3.75,-2.25,-2.38,-0.88,0.88,0.75,1.25,0.75,1.25,4.63,2.63,3,5.88,0.25,-15,-23,-14.75,0.921332729
1.37,-0.25,1.12,0.12,-1.37,-1.37,-0.25,-0.88,-2.5,-4.5,1.75,1.37,2.38,-3.88,-3,-0.12,-4.5,-2.88,-4.75,-3.63,-2.38,-2.38,-0.5,0.75,0.63,1.37,0.75,1.12,4.75,2.63,2.88,-0.12,-10.75,-14.25,-18,-4.13,0.885316962
1.37,-0.25,1.12,0.12,-1.37,-1.25,-0.37,-0.88,-2.5,-4.25,1.88,1.75,2.5,-3.88,-3.13,-0.63,-4.38,-3.25,-4.5,-3.75,-2.38,-2.25,-0.5,0.5,0.75,1.25,0.75,1.88,4.75,2.25,3,-10.38,-10.25,-12.5,-15.5,12.5,0.844200788
