0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,rate,p,n
-2.13,-1.75,0.25,-0.63,-2.5,-0.63,0.5,-0.75,-0.5,-2.88,0.63,0.25,4.88,-2.75,-1.25,2,-5.25,-1.88,-2.63,-0.75,0.75,-0.25,1.12,0.63,0.75,1.25,0.75,1.5,4.5,1.5,2.75,-19.5,-10.13,36.75,6,-10,0.997100658,0,0,1
-2,-1.75,0.12,-0.5,-2.5,-0.63,0.63,-0.88,-0.88,-2.88,0.63,0,4.38,-2.88,-1.5,0.37,-5.38,-2,-2.13,-1,0.37,0,1,0.63,0.37,0.5,0,1.5,4.75,1.37,2.88,-2,26.75,2.88,-11.63,-0.63,0.942694181,0,0,1
-2,-1.88,0,-0.75,-2.5,-0.37,0.5,-1,-0.75,-2.75,0.37,0.12,11.5,-2.88,-1.12,0.88,-5,-1.75,-2.63,-1.5,0.88,-0.25,1.12,1.12,-0.12,0.88,0.37,1.75,4.75,1.75,2.75,31.62,4.88,-0.37,-4.25,-16.75,0.891151225,1,0,1
-2.13,-1.88,0.12,-0.75,-2.38,-0.63,0.37,-0.88,-0.63,-2.88,0.5,0.37,5,-2.5,-1.25,-0.75,-4.88,-2,-2.5,-0.88,0.88,0.37,1.63,0.25,0.25,0.88,0.63,1.75,5.25,1.75,2.5,-0.5,-8.88,-14.5,-36.38,-8.75,0.84251419,0,0,0
-2,-1.88,0.12,-0.63,-2.38,-0.63,0.5,-0.88,-0.88,-2.63,0.63,0.25,4,-2.88,-1.25,-3.75,-5.25,-2,-2.25,-1,1,0.12,0.88,0.25,0.12,0.63,0.37,2.38,4.75,1.12,2.75,-9.88,-0.12,-42.75,-4.25,27.12,0.79638421,0,0,1
-2.13,-1.88,0.12,-0.63,-2.63,-0.5,0.5,-1,-0.5,-2.75,0.75,0,4.88,-2.75,-1.12,6,-5.38,-1.75,-2.5,-0.37,1,-0.37,1,0.75,0.12,1.37,1,1.88,4.25,1.37,2.75,-4.63,-19.62,-4.25,8.25,-5.5,0.752146711,0,0,1
-2,-1.75,0,-1,-2.5,-0.63,0.37,-0.75,-0.63,-2.75,0.5,0.12,2.38,-2.75,-1.25,4.5,-5.25,-1.75,-1.88,-0.63,0.5,-0.12,1.12,0.12,0.63,1.12,0.63,1.25,4.88,1.37,2.75,-14.5,-4.13,12.13,-1.25,-9.63,0.709203806,1,0,0
-2,-1.88,0,-0.63,-2.5,-0.5,0.63,-0.88,-0.75,-2.63,0.63,0,5.63,-3.13,-1.12,0.88,-5.25,-1.37,-2.13,-1.5,0.88,-0.25,1,1.12,0.12,0.25,0.12,1.63,4.88,1.37,3,0.37,10.38,-11.38,-10,5.25,0.667212643,0,0,1
-2.13,-1.88,0.25,-0.75,-2.5,-0.37,0.5,-1,-0.63,-2.88,0.25,0,3.5,-3,-1.12,0.12,-4.75,-1.75,-2.5,-1,0.63,-0.12,1.5,0.75,-0.25,1,0.5,1.63,4.75,1.75,2.63,5.25,-5.38,-15,-3.75,-13.75,0.626227659,0,0,0
-2,-1.88,0.12,-0.63,-2.13,-0.63,0.37,-0.88,-0.75,-2.63,0.5,0,3.63,-2.88,-1.63,-4.75,-5,-2.13,-2.38,-0.88,0.75,0.25,1,0,0.25,1,0.5,1.5,5.13,1.37,2.63,-10.38,1.25,-11.88,-15.75,12.38,0.586694758,0,0,1
-2,-1.88,0.12,-0.75,-2.5,-0.63,0.63,-1,-0.63,-2.75,0.63,0,4.63,-2.88,-1,-3.63,-5.38,-1.88,-2.38,-1.12,1.25,0.12,0.63,0.63,0.12,1,0.5,2.13,4.75,1.12,2.75,-9.38,-1.63,-10.13,13.38,6.25,0.549353141,0,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.5,0.37,-0.88,-0.5,-2.88,0.5,0.12,5,-2.75,-0.88,1.25,-5.25,-1.88,-2.5,-0.63,1,-0.37,1,0.63,0.63,1.25,0.88,1.63,4.38,1.5,2.75,-6.38,-15.88,32.75,6.38,0.5,0.515168119,0,0,1
-2,-1.75,0,-0.75,-2.5,-0.88,0.63,-0.88,-0.88,-2.88,0.63,0,4.13,-2.5,-1.5,0,-5.25,-2,-2,-0.88,0.25,-0.12,0.88,0.25,0.37,0.63,0.25,1.5,4.88,1.37,2.88,-9,10.88,7.63,-10.63,-9.88,0.485390408,0,0,0
